idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
68,6.822742474916388,-4.128067194693316,-9.108186495460929,-6.822742474916388,171.57157202757017,-77.76070224099347,30.0,0.0,0.0,0.0,245.61872909698994,70
69,6.9230769230769225,-3.546048870425359,-9.350162426854148,-6.9230769230769225,176.1296902613876,-66.79718069987537,30.0,0.0,0.0,0.0,249.23076923076923,70
70,7.023411371237458,-2.949942176222497,-9.554990379741032,-7.023411371237458,179.9880493199662,-55.56827550875801,30.000000000000007,0.0,0.0,0.0,252.8428093645485,70
71,7.1237458193979935,-2.3421154301580227,-9.721856577414403,-7.1237458193979935,183.131320032237,-44.11859884758586,30.000000000000007,0.0,0.0,0.0,256.45484949832775,70
72,7.224080267558529,-1.7249835137995029,-9.85009806434027,-7.224080267558529,185.5470142565466,-32.49364001623284,30.0,0.0,0.0,0.0,260.06688963210706,70
73,7.3244147157190636,-1.1009982779403207,-9.93920534006479,-7.3244147157190636,187.22553449575878,-20.73958470657201,30.0,0.0,0.0,0.0,263.67892976588627,70
74,7.424749163879599,-0.4726388014532912,-9.988824383447774,-7.424749163879599,188.16021202788627,-8.903131507790306,30.0,0.0,0.0,0.0,267.2909698996655,70
75,7.525083612040134,0.15759845803216185,-9.998758059180444,-7.525083612040134,188.34733340076505,2.9686936260224437,30.0,0.0,0.0,0.0,270.90301003344484,70
76,7.625418060200669,0.7872095824983136,-9.968966900999463,-7.625418060200669,187.78615518551965,14.828724208898125,30.0,0.0,0.0,0.0,274.5150501672241,70
77,7.725752508361204,1.4136931415473426,-9.899569268485473,-7.725752508361204,186.478906930189,26.629840614346886,30.0,0.0,0.0,0.0,278.1270903010033,70
78,7.826086956521739,2.0345601305263328,-9.79084087682323,-7.826086956521739,184.4307823017787,38.32515728053887,30.0,0.0,0.0,0.0,281.73913043478257,70
79,7.926421404682274,2.647343859284992,-9.643213701391568,-7.926421404682274,181.6499184519418,49.86820898555569,30.0,0.0,0.0,0.0,285.3511705685619,70
80,8.02675585284281,3.249609752278451,-9.457274261535233,-8.02675585284281,178.1473636882699,61.21313545263752,30.0,0.0,0.0,0.0,288.96321070234114,70
81,8.127090301003344,3.8389650210794386,-9.233761290337137,-8.127090301003344,173.93703357962283,72.3148635520026,29.99999999999987,0.0,0.0,0.0,292.57525083612035,70
82,8.227424749163879,4.413068170871245,-8.973562799648928,-8.227424749163879,169.0356556698915,83.12928637534407,30.00000000000013,0.0,0.0,0.0,296.18729096989966,70
83,8.327759197324415,4.969638303152291,-8.677712552040521,-8.327759197324415,163.4627030198534,93.61343847155304,30.00000000000013,0.0,0.0,0.0,299.7993311036789,70
84,8.42809364548495,5.506464177693006,-8.347385953685363,-8.42809364548495,157.2403168411594,103.72566654746267,29.99999999999987,0.0,0.0,0.0,303.4113712374582,70
85,8.528428093645484,6.021412997741985,-7.9838953844989655,-8.528428093645484,150.39321852981217,113.42579495541499,29.99999999999987,0.0,0.0,0.0,307.0234113712374,70
86,8.628762541806019,6.512438883578037,-7.588684984083925,-8.628762541806019,142.94861144862912,122.67528531017564,30.00000000000013,0.0,0.0,0.0,310.6354515050167,70
87,8.729096989966555,6.977591000742848,-7.163324914196788,-8.729096989966555,134.93607284891323,131.43738960104525,30.00000000000013,0.0,0.0,0.0,314.24749163879596,70
88,8.82943143812709,7.415021310661068,-6.709505120531784,-8.82943143812709,126.38743636072282,139.67729619085517,29.99999999999987,0.0,0.0,0.0,317.8595317725752,70
89,8.929765886287624,7.822991912854706,-6.229028618605784,-8.929765886287624,117.33666551859774,147.36226812179643,29.999999999999883,0.0,0.0,0.0,321.4715719063545,70
90,9.03010033444816,8.19988194958146,-5.7238043304194255,-9.03010033444816,107.81971882522116,154.46177317859042,29.999999999999883,0.0,0.0,0.0,325.0836120401338,70
91,9.130434782608695,8.544194045464886,-5.195839500354335,-9.130434782608695,97.87440688912069,160.94760519227054,30.00000000000013,0.0,0.0,0.0,328.69565217391306,70
92,9.230769230769232,8.8545602565321,-4.647231720437683,-9.230769230769232,87.54024220400333,166.79399610264318,30.00000000000013,0.0,0.0,0.0,332.3076923076923,70
93,9.331103678929766,9.129747505023436,-4.080160596657726,-9.331103678929766,76.85828216652978,171.9777183341892,29.99999999999987,0.0,0.0,0.0,335.9197324414716,70
94,9.431438127090301,9.368662478381797,-3.496879089439763,-9.431438127090301,65.87096595623132,176.47817707868754,30.00000000000013,0.0,0.0,0.0,339.53177257525084,70
95,9.531772575250837,9.570355972958094,-2.8997045626865727,-9.531772575250837,54.621945925633504,180.2774921179049,30.00000000000013,0.0,0.0,0.0,343.1438127090301,70
96,9.632107023411372,9.734026665175332,-2.2910095769454166,-9.632107023411372,43.15591417046971,183.36056886128804,29.99999999999987,0.0,0.0,0.0,346.75585284280936,70
97,9.732441471571907,9.859024295168593,-1.6732124632799645,-9.732441471571907,31.518424969024267,185.71515831642722,29.99999999999987,0.0,0.0,0.0,350.3678929765887,70
98,9.832775919732441,9.944852250252417,-1.048767715297075,-9.832775919732441,19.755713796039974,187.33190575401883,29.99999999999987,0.0,0.0,0.0,353.9799331103679,70
99,9.933110367892976,9.99116953795147,-0.42015623750057507,-9.933110367892976,7.91451363024758,188.20438787398328,30.00000000000013,0.0,0.0,0.0,357.59197324414714,70
