# ts wx wy wz ax ay az
1654544065.005113 -2.095439 0.548628 0.844780 2.069842 38.185253 13.225221
1654544065.010115 -2.288258 0.517734 0.921482 1.056538 38.532605 15.232523
1654544065.015116 -2.442726 0.493232 0.842650 0.894160 38.610788 15.737701
1654544065.020118 -2.585476 0.457012 0.905502 0.731774 38.688974 16.242903
1654544065.025120 -2.537537 0.366462 1.145194 1.045949 38.372301 14.569571
1654544065.030121 -2.541798 0.351548 1.221896 1.094058 38.276082 14.112534
1654544065.035123 -2.678157 0.398421 1.186741 1.142169 38.179859 13.655475
1654544065.040125 -2.792143 0.359005 1.176088 0.889460 37.970822 14.125927
1654544065.045126 -2.617435 0.281238 1.230418 0.793234 37.820469 14.113898
1654544065.050128 -2.538603 0.226908 1.280487 0.697008 37.670116 14.101869
1654544065.055130 -2.742074 0.267390 1.217634 0.669528 37.519821 13.769209
1654544065.060131 -2.797470 0.299348 1.225092 0.609395 37.369487 13.588809
1654544065.065133 -2.575888 0.260998 1.326295 0.549268 37.219168 13.408428
1654544065.070135 -2.605716 0.198145 1.417910 0.489138 37.068842 13.228037
1654544065.075136 -2.669634 0.162990 1.367841 0.609194 37.835875 14.112431
1654544065.080138 -2.620631 0.141685 1.357188 0.615207 38.022294 14.322903
1654544065.085140 -2.636610 0.124640 1.425367 0.621221 38.208704 14.533365
1654544065.090141 -2.668569 0.153403 1.434955 0.489532 37.538337 13.779954
1654544065.095143 -2.623827 0.160860 1.417910 0.441420 37.387988 13.611564
1654544065.100145 -2.681352 0.142750 1.481828 0.393311 37.237648 13.443181
1654544065.105146 -2.652589 0.137423 1.444543 0.274105 36.945106 14.056833
1654544065.110148 -2.682418 0.142750 1.392343 0.195924 36.734617 14.219210
1654544065.115150 -2.795339 0.095877 1.458392 0.117743 36.524128 14.381587
1654544065.120152 -2.542864 0.103334 1.399800 0.591354 37.207021 13.965896
1654544065.125153 -2.783621 0.073505 1.442412 0.765761 37.405485 13.863657
1654544065.130155 -2.904000 0.084158 1.437086 0.940160 37.603939 13.761423
1654544065.135156 -2.823037 0.174709 1.416845 0.391203 37.500967 13.635099
1654544065.140158 -2.829429 0.206668 1.387017 0.204790 37.549072 13.520846
1654544065.145160 -2.830494 0.170448 1.347601 0.018369 37.597180 13.406588
1654544065.150162 -2.857126 0.145946 1.326295 -0.168034 37.645283 13.292341
1654544065.155163 -2.873106 0.151272 1.330556 0.851686 37.302666 13.313931
1654544065.160165 -2.954069 0.193884 1.356123 1.092273 37.212447 13.247769
1654544065.165167 -2.861388 0.257802 1.339078 1.332861 37.122227 13.181608
1654544065.170168 -2.794274 0.279108 1.324164 0.443875 38.241055 12.972301
1654544065.175170 -2.998811 0.328111 1.208047 0.257446 38.607900 12.852024
1654544065.180171 -2.960460 0.372854 1.105778 0.071017 38.974745 12.731747
1654544065.185173 -2.839016 0.442098 1.087668 0.685216 38.407512 12.922829
1654544065.190175 -2.926371 0.484710 1.146260 0.823530 38.395484 12.928843
1654544065.195177 -2.908261 0.542236 1.029077 0.961844 38.383457 12.934857
1654544065.200178 -2.779360 0.543301 0.988596 1.058920 38.343942 13.559347
1654544065.205180 -3.041423 0.495363 1.107909 1.179193 38.319887 13.835975
1654544065.210181 -3.209740 0.644505 1.018424 1.299467 38.295833 14.112604
1654544065.215183 -3.133038 0.803234 0.861825 0.887874 38.297096 13.186204
1654544065.220185 -3.149018 0.828801 0.979008 0.755549 38.285066 12.891480
1654544065.225187 -3.263005 0.792581 1.014163 0.623212 38.273036 12.596728
1654544065.230188 -3.310943 0.812822 0.876739 1.012286 38.295766 12.904516
1654544065.235190 -3.365273 0.873543 0.905502 1.150625 38.301781 12.922561
1654544065.240192 -3.323726 0.930004 0.963028 1.288965 38.307796 12.940605
1654544065.245193 -3.175650 0.964094 0.944918 1.427305 38.313811 12.958650
1654544065.250195 -3.335445 0.963028 0.918286 0.921258 38.187645 12.596669
1654544065.255197 -3.439844 0.987530 0.855433 0.825019 38.145542 12.476369
1654544065.260198 -3.482456 1.096191 0.723337 0.728780 38.103438 12.356070
1654544065.265200 -3.263005 1.204851 0.674333 1.203952 38.416525 12.915290
1654544065.270201 -3.431321 1.220830 0.727598 1.330242 38.512746 13.059622
1654544065.275203 -3.405754 1.245332 0.639178 1.456539 38.608971 13.203961
1654544065.280205 -3.488847 1.263442 0.595501 1.065776 37.958300 12.242316
1654544065.285207 -3.485651 1.320968 0.601893 0.975549 37.741755 11.923513
1654544065.290208 -3.368469 1.433890 0.506016 0.885326 37.525220 11.604726
1654544065.295210 -3.222523 1.524440 0.410139 1.353084 38.398085 12.747334
1654544065.300212 -3.514415 1.525505 0.292957 1.515470 38.674744 13.090150
1654544065.305213 -3.533590 1.583031 0.175774 1.677857 38.951402 13.432966
1654544065.310215 -3.416407 1.674647 0.236496 1.620579 38.398081 13.360875
1654544065.315217 -3.336510 1.708736 0.231169 1.674716 38.265746 13.499225
1654544065.320218 -3.530394 1.704475 0.167252 1.728856 38.133404 13.637582
1654544065.325220 -3.486717 1.683169 0.198145 1.782995 38.001062 13.775938
1654544065.330221 -3.676340 1.706606 0.232235 1.648538 38.108799 12.560000
1654544065.335223 -3.498435 1.863204 0.153403 1.636509 38.060686 12.223209
1654544065.340225 -3.449431 1.955885 0.094811 1.624480 38.012570 11.886402
1654544065.345227 -3.516545 1.911143 0.041547 1.805182 38.189313 13.316328
1654544065.350228 -3.522937 1.862139 0.003196 1.865321 38.225397 13.641081
1654544065.355230 -3.451562 1.923926 -0.059657 1.925461 38.261481 13.965834
1654544065.360232 -3.480325 1.970799 -0.026632 1.970645 38.162743 13.556603
1654544065.365233 -3.248090 1.992105 0.035155 2.024781 38.144699 13.586677
1654544065.370235 -3.370600 1.973995 0.076701 2.078916 38.126655 13.616752
1654544065.375262 -3.532525 1.945232 -0.009588 2.300056 38.080761 13.326897
1654544065.380264 -3.378057 1.954820 -0.074571 2.426163 38.050734 13.218806
1654544065.385266 -3.270462 1.916469 0.058591 2.552276 38.020705 13.110709
1654544065.390267 -3.397232 1.903686 0.166186 2.371021 37.849517 13.361335
1654544065.395269 -3.263005 1.934579 0.060722 2.352977 37.753284 13.421481
1654544065.400270 -3.275788 1.886641 0.075636 2.334934 37.657052 13.481627
1654544065.405272 -3.133038 1.869596 0.208798 2.093735 37.478601 13.201168
1654544065.410274 -2.947677 1.850421 0.202406 1.961421 37.340271 13.086896
1654544065.415276 -3.158606 1.891967 0.098007 1.829093 37.201928 12.972614
1654544065.420277 -3.046749 1.963342 -0.068179 1.696772 37.063592 12.858336
1654544065.425279 -2.879498 1.988909 -0.042612 2.214964 37.909356 13.294493
1654544065.430280 -2.827298 1.989975 -0.009588 2.317205 38.125869 13.378692
1654544065.435282 -2.813449 2.022999 -0.138489 2.419447 38.342382 13.462891
1654544065.440284 -2.937024 2.028325 -0.216255 2.225313 38.293711 13.671880
